,Layer,Cluster,Image,PCC
0,backbone.res2.0.conv1,1,962,0.3858437841579412
1,backbone.res2.0.conv2,1,962,0.4421108988253352
2,backbone.res2.0.conv3,1,962,0.3440043313271008
3,backbone.res2.1.conv1,1,962,0.4416491846216506
4,backbone.res2.1.conv2,1,962,0.37395594455765646
5,backbone.res2.1.conv3,1,962,0.30377954237020455
6,backbone.res2.2.conv1,1,962,0.34279803935664316
7,backbone.res2.2.conv2,2,962,0.2928536897018071
8,backbone.res2.2.conv3,2,962,0.2525935599395571
9,backbone.res3.0.conv1,1,962,0.5202175760759133
10,backbone.res3.0.conv2,1,962,0.49894510285266513
11,backbone.res3.0.conv3,1,962,0.4806594147071923
12,backbone.res3.1.conv1,1,962,0.5376474158339586
13,backbone.res3.1.conv2,1,962,0.4811043926746336
14,backbone.res3.1.conv3,1,962,0.4453837654819033
15,backbone.res3.2.conv1,1,962,0.37511163552509336
16,backbone.res3.2.conv2,1,962,0.3635314901055786
17,backbone.res3.2.conv3,1,962,0.4380469993435693
18,backbone.res3.3.conv1,1,962,0.3550228442435293
19,backbone.res3.3.conv2,2,962,0.23926083512117716
20,backbone.res3.3.conv3,2,962,0.25562678309087566
21,backbone.res4.0.conv1,1,962,0.3910321176465907
22,backbone.res4.0.conv2,1,962,0.41360619657372116
23,backbone.res4.0.conv3,1,962,0.5513908522735248
24,backbone.res4.1.conv1,1,962,0.38638774567112977
25,backbone.res4.1.conv2,1,962,0.4474547041064448
26,backbone.res4.1.conv3,1,962,0.467105401786821
27,backbone.res4.2.conv1,1,962,0.4020823357655618
28,backbone.res4.2.conv2,1,962,0.40546458875493707
29,backbone.res4.2.conv3,1,962,0.4204567882297807
30,backbone.res4.3.conv1,1,962,0.4418196356980132
31,backbone.res4.3.conv2,1,962,0.483245996209182
32,backbone.res4.3.conv3,1,962,0.3928253772872954
33,backbone.res4.4.conv1,1,962,0.3929465165094962
34,backbone.res4.4.conv2,1,962,0.460019911730861
35,backbone.res4.4.conv3,1,962,0.41232754774138386
36,backbone.res4.5.conv1,1,962,0.4324682768825003
37,backbone.res4.5.conv2,1,962,0.3342107404917899
38,backbone.res4.5.conv3,1,962,0.39331796050367973
39,backbone.res2.0.conv1,1,2170,0.45016528349324275
40,backbone.res2.0.conv2,1,2170,0.4593079406893054
41,backbone.res2.0.conv3,1,2170,0.5029822858581797
42,backbone.res2.1.conv1,1,2170,0.5307184866119138
43,backbone.res2.1.conv2,1,2170,0.5244189106225509
44,backbone.res2.1.conv3,1,2170,0.4009892170746297
45,backbone.res2.2.conv1,1,2170,0.5071154886923854
46,backbone.res2.2.conv2,2,2170,0.29146493262580087
47,backbone.res2.2.conv3,2,2170,0.31862102233768286
48,backbone.res3.0.conv1,1,2170,0.5526167715923999
49,backbone.res3.0.conv2,1,2170,0.47297438790277585
50,backbone.res3.0.conv3,1,2170,0.5274370101108005
51,backbone.res3.1.conv1,1,2170,0.5585374261320548
52,backbone.res3.1.conv2,1,2170,0.4843376275878602
53,backbone.res3.1.conv3,1,2170,0.5386605951412475
54,backbone.res3.2.conv1,1,2170,0.5508974871877248
55,backbone.res3.2.conv2,1,2170,0.5318472654548688
56,backbone.res3.2.conv3,1,2170,0.5217731533678063
57,backbone.res3.3.conv1,1,2170,0.5121662716429966
58,backbone.res3.3.conv2,2,2170,0.3322112910824641
59,backbone.res3.3.conv3,2,2170,0.355972132026919
60,backbone.res4.0.conv1,1,2170,0.544392377509849
61,backbone.res4.0.conv2,1,2170,0.5378609124021767
62,backbone.res4.0.conv3,1,2170,0.570095341476673
63,backbone.res4.1.conv1,1,2170,0.5527668021590287
64,backbone.res4.1.conv2,1,2170,0.5850102038134535
65,backbone.res4.1.conv3,1,2170,0.6254964459480352
66,backbone.res4.2.conv1,1,2170,0.6397954248981758
67,backbone.res4.2.conv2,1,2170,0.4856045418386235
68,backbone.res4.2.conv3,1,2170,0.5255732871030813
69,backbone.res4.3.conv1,1,2170,0.6062930834744136
70,backbone.res4.3.conv2,1,2170,0.455526865403126
71,backbone.res4.3.conv3,1,2170,0.5314390518127198
72,backbone.res4.4.conv1,1,2170,0.5400078114018337
73,backbone.res4.4.conv2,1,2170,0.4637896984864558
74,backbone.res4.4.conv3,1,2170,0.48037289790295995
75,backbone.res4.5.conv1,1,2170,0.4653680310158424
76,backbone.res4.5.conv2,1,2170,0.32862892335482635
77,backbone.res4.5.conv3,1,2170,0.45412325635777456
78,backbone.res2.0.conv1,1,1227,0.4006922747252838
79,backbone.res2.0.conv2,1,1227,0.39667546363625195
80,backbone.res2.0.conv3,1,1227,0.36772164825711895
81,backbone.res2.1.conv1,1,1227,0.41515439600582604
82,backbone.res2.1.conv2,1,1227,0.39985570579327395
83,backbone.res2.1.conv3,1,1227,0.3076707740808519
