,Layer,handbag_383842,sandwich_465430,bed_491757,bird_100489,bottle_460929,toothbrush_160666,refrigerator_536947,remote_476810,bear_521231,cow_545958,truck_295420,dining table_480122,car_227511,umbrella_455157,stop sign_100283,tie_133343,surfboard_52507,surfboard_554595,bicycle_203317,suitcase_350019,airplane_167540,bench_350607,cup_226171,oven_802,cake_189451,fire hydrant_293071,orange_50679,sheep_278353,donut_148957,frisbee_357459,couch_29596,frisbee_139872,carrot_287667,backpack_177065,tennis racket_394559,train_539143,apple_216277,bowl_578871,cat_558073,cake_119677,hot dog_400082,sink_466085,elephant_97230,broccoli_61658,skis_30504,sports ball_22935,spoon_248314,carrot_130613,book_167159,backpack_370478,tv_453722,laptop_482970,sheep_410428,cell phone_480212,giraffe_289659,baseball glove_162415,handbag_250127,teddy bear_82180,wine glass_146489,clock_60363,suitcase_23023,boat_178744,car_310072,skis_342397,toilet_85576,boat_442822,skateboard_229553,potted plant_407614,parking meter_333956,sports ball_60102,baseball bat_270474,fork_243626,teddy bear_205542,person_562243,oven_446005,bowl_205834,remote_430286,bottle_385029,umbrella_180487,potted plant_473219,vase_376478,baseball glove_515982,elephant_83113,vase_521282,broccoli_389381,tv_104666,bench_310072,knife_116206,microwave_91615,cup_323151,person_278705,motorcycle_462756,cow_361268,bed_468245,cell phone_396729,bus_106048,train_90155,banana_279769,sink_51598,keyboard_66635,zebra_491613,wine glass_25394,zebra_449406,dog_331075,toilet_42276,hot dog_311950,fork_250766,dog_357459,chair_190236,horse_439715,pizza_276285,keyboard_378099,mouse_68765,banana_290619,scissors_324715,fire hydrant_344909,tennis racket_270908,bird_404568,stop sign_724,bus_226154,dining table_385029,truck_334006,spoon_88040,giraffe_287545,scissors_340930,traffic light_133087,couch_31735,airplane_338325,refrigerator_498463,knife_227985,orange_386277,pizza_294831,parking meter_568147,baseball bat_129945,apple_562059,cat_101420,laptop_360951,horse_382088,snowboard_393469,chair_81061,sandwich_417608,snowboard_425906,kite_24027,bear_519611,motorcycle_499622,bicycle_426166,donut_109798,microwave_207538,tie_244496,skateboard_71877,Cluster,Task
0,backbone.res2.0.conv1,0.24953033214932105,0.1269856552650251,0.08847253581103344,0.3917245400244939,0.2757108753780828,0.20697886619052233,0.38231113560969593,0.3183487144458915,0.15946644123602516,0.313757964901476,0.2590751153866199,0.08380287071209963,0.42125454427631603,0.15240468893583725,0.23611057443640676,0.1755501333711204,0.35805013082941145,0.31765642836324465,0.20177594820436867,0.042750951809706006,0.29024441231858655,0.19179936346131957,0.23258473247609399,0.26452495785023705,0.24893121908583646,0.2744426510867076,0.15594183889908156,0.24107803880344536,0.2214245706387942,0.2363277004160711,0.15801097557868277,0.14843767887685708,0.4898621116551933,0.37517044178836606,0.3625858649030803,0.07204618309633123,0.2527299854541982,0.24418361473605826,0.09712054267485057,0.37748006278485424,0.10767257929811588,0.27822243339883934,0.4093535744093832,0.12609997706819684,0.24677913253763017,0.2506851947343846,0.5466143182322682,0.3571119443352699,0.22217904583466108,0.2636420549253293,0.3076471584830734,0.14103721682311748,0.20727131389515308,0.17548452056049385,0.12805503532429643,0.04122991558037108,0.18612755132877645,0.41562555038214816,0.011927148579780453,0.2648927698417945,0.21572795789869734,0.40084743293034125,0.3269888355930045,0.0863208961743125,0.2730618195506596,0.32691663181688957,0.2724154519666415,0.10491419235059943,0.028353299005143388,0.3855581679265286,0.4497571802770955,0.34106944860684074,0.28829195370076405,0.06154968636648099,0.13341848882321425,0.2825535460455949,0.06161115763390614,0.30464526597539954,0.26604619807157653,0.3190805820375381,0.08512392159649787,0.17418186686272136,0.15497579121394012,0.29185579407488726,0.11540900441377379,0.29099107953271264,0.03814227084252957,0.2348857130247707,0.3016536994605223,0.24237070856648527,0.2439699864684136,0.11078485109293772,0.3011892376034641,0.15338088908164108,0.39079627169589554,0.13683124847658412,0.14075741061034908,0.16768465646595374,0.2579403053136175,0.27836714274406776,0.06021203636128531,0.2639261240740047,0.23520134154879466,0.0014554525959887942,0.2354865608746016,0.257447831351906,0.2648945475229881,0.2402628092786094,0.3132548887865043,0.12498227225985542,0.337499702104042,0.07645021005348565,0.11647023909002809,0.21719374582200723,0.36086139901320646,0.02183594171672152,0.1195303392621189,0.2424547919950383,0.2088906887289669,0.05802083326043708,-0.001790496080009788,0.37637987721425425,0.3678087490005325,0.2765770958249029,0.11622040719371947,0.17700570258914472,0.24153645758915174,0.1993087037808755,0.050725415518562786,0.30552513204526155,0.037418784420109964,0.07194693075270135,0.28053336062751816,0.28284990701170387,0.23215172525285008,0.29549353942243095,0.0849683865076762,0.2291358887646963,0.1504305002366153,0.1984638641053991,0.13733381709255393,0.16331762008369263,0.29719130350349054,0.2607694694398755,0.2232534473994483,0.4285475060505196,0.15199319165554617,0.14695413855630968,0.5257896275418202,0.32282046157506666,2,DET vs FullGradCam
1,backbone.res2.0.conv2,0.23667082477607226,0.14462078107597034,0.09714823609346458,0.3873091660847832,0.22805114604653612,0.1962263569412246,0.40712099100248805,0.3293140673032089,0.1700712506793154,0.27617583357706593,0.25813271779164443,0.09295667683536235,0.4117562302640221,0.14339381475793964,0.24694140379071813,0.21283511742845532,0.3450035611351873,0.3440671511287441,0.24954250146049645,0.08122667924041081,0.3211105264341146,0.21731841267627477,0.25291985252074334,0.26354747979361187,0.2192202726013282,0.29562630508805265,0.1746490423800795,0.22505945362571989,0.22329511320401663,0.2230146473908746,0.1721077740083614,0.18571195249863418,0.4727792233946948,0.39283293472651504,0.37180486215784625,0.07899306218793987,0.25008768004981746,0.2831588846750815,0.06764782501186321,0.381139722242375,0.1419620667465854,0.31421006523075906,0.4388230949077597,0.14435932121242756,0.26976635256922965,0.26092337357144435,0.5473240462936975,0.3416717802148763,0.22031830443988015,0.27106673365655476,0.25582189025239843,0.1435177890971028,0.21191772827293942,0.18666002156624048,0.138759658983854,0.1343247036808426,0.20436625764171001,0.44224787536627813,0.10039830798966423,0.32514920589328394,0.24621729109665774,0.4028224914161365,0.35153133712537404,0.0974739070581404,0.3029569597594463,0.37728637499345535,0.23186395491915943,0.11761023593060432,0.025075204739577677,0.3865240949453246,0.43397718114267103,0.313875569636259,0.27264172183534574,0.10203329744625007,0.13560333996732818,0.28613262889250374,0.056135016003647724,0.2675978716725623,0.26353580446092223,0.3235994941987137,0.09890568483460065,0.15560153718674358,0.16048266721975835,0.28820900720456644,0.15127884722198467,0.30376504377385594,0.021907559778823953,0.24410540262963415,0.309482555238307,0.23570307204966012,0.2597202785443001,0.12042164142636756,0.3816966305964908,0.16840878045014981,0.34580628916755857,0.13085838734661834,0.16589486367680767,0.17380322314037586,0.2691137378595291,0.2576635298737335,0.07183040145351967,0.2484082053991417,0.2242882346093366,0.028178026477956617,0.2652988814958169,0.24003548744073128,0.2610705162681829,0.22270039700777294,0.3879371950264949,0.1474646696644724,0.3343298833827934,0.08792910658384075,0.17473773845889395,0.2397760574934896,0.3664067022706898,0.014622084951313202,0.12687227302578985,0.2632921140389808,0.228647623932744,0.07688685254363427,0.030572760696140823,0.35200310162307175,0.40188716997730584,0.3256732313083736,0.12609603673164677,0.23318081997696122,0.2581194080844674,0.22074742162297134,0.03537755721372264,0.33970610065996243,0.00843836988356332,0.1144022297984397,0.2791474916808266,0.32703915105287085,0.24370502030954433,0.2526792937785166,0.09398788152360026,0.22559411800708465,0.1568323892027201,0.19468978195017203,0.12921386044668742,0.22489194394578801,0.3082685462689678,0.25834778986993695,0.21905762947961885,0.4323280058407805,0.28665335677092046,0.10633134930139121,0.5699034906971084,0.3717485985408155,2,DET vs FullGradCam
2,backbone.res2.0.conv3,0.27181832699537484,0.12406755367865505,0.09696703105289474,0.44361048460497793,0.26673406268821165,0.25863349029999433,0.3426489402994862,0.3710414597496803,0.2836622817951032,0.30482104407042376,0.3285479622538056,0.07225187894322797,0.30233243236058305,0.16604924610403585,0.21383208151542668,0.28964928934058404,0.30095405922925395,0.26809129680108645,0.23778457166610298,0.09916424326238274,0.453048819331784,0.18245416339937687,0.22278036901632842,0.2994239945275512,0.22144247226215724,0.3256087633834446,0.3140935312163921,0.252082781264024,0.26283396269634224,0.22123761909953685,0.16158975841316153,0.17771792877535286,0.4567377446536028,0.37606172350051614,0.3035205752319799,0.10289820697335664,0.2848721865401314,0.23391336219527026,0.16374140125378267,0.43628104375330756,0.21544302677141694,0.2934435719249626,0.4525550619359529,0.09556045003229414,0.27444277298377273,0.25517217430156997,0.5320099390237298,0.38617037935966964,0.24691170683105546,0.29501093521140714,0.2495253237027654,0.12150986772537845,0.25103292076060874,0.28887671554772765,0.14357180671440764,0.1727994958152095,0.3745577594452529,0.35166567367559726,0.12896562617153784,0.3334060910887524,0.26646005265791467,0.3762496227600985,0.3402818867729296,0.20987570336863015,0.27609431056496014,0.39374342400539497,0.2165698509697715,0.18876971050028257,0.05642646519102188,0.26895727178574996,0.45047634582766644,0.4028642985019417,0.31144066306930596,0.09884187569632952,0.18409371216673617,0.19378587602261899,0.12588222728454615,0.31647628070309586,0.29893916787126984,0.3844362052151704,0.1433972474177852,0.26953594096995076,0.15780456789601624,0.2837236099997584,0.14870555018834894,0.32233065442870606,0.10803428109786006,0.2519766195085591,0.29380594677698335,0.27482968842909794,0.2755887798673764,0.2702463742310002,0.32877614134100624,0.17157924362463725,0.3681257774135507,0.22163477229281076,0.16257713601266974,0.15845286174817866,0.23673508885994662,0.2998802599899359,0.19787836305233225,0.3255001536155383,0.26368955547201356,0.11848492925435002,0.261223213263858,0.3395761702114441,0.34971203329662215,0.29513974651464403,0.35254311070195354,0.19093049552752517,0.3423957863191691,0.12317517728205836,0.16618193108815138,0.19559772048494617,0.35116728957778554,0.05351403140953407,0.2022836905285389,0.30185981175514065,0.260935297830254,0.12852872602477447,0.04538227514097935,0.3978825112967717,0.36404290127581457,0.29938122146057794,0.13021840424676562,0.257812291982799,0.268789137861514,0.31822032022814917,0.10845007977878854,0.26757610723878783,0.06269154432518396,0.12664944810554388,0.3153682341616011,0.2910498772026324,0.23831302127825035,0.2642771849645578,0.17905825611226994,0.24628429236822436,0.2203096797970461,0.21527712445271036,0.2028890420744686,0.2634476940015659,0.32849071996240325,0.23972744301461538,0.28871218658687386,0.44392565785695476,0.28676358509376826,0.16168092558204836,0.5447317664181311,0.41488650664036986,2,DET vs FullGradCam
3,backbone.res2.1.conv1,0.2778779506532294,0.11593567393014231,0.09228797294002174,0.3914067102279233,0.2510804156931762,0.23492081236048132,0.3333073460235016,0.370421050290817,0.31796061614910603,0.2990603252621797,0.3319377996387362,0.06609545994238139,0.3528667080223346,0.1443763053937664,0.19858133134173556,0.3216903902925031,0.27834481817096374,0.25672180772987885,0.26789547118401874,0.08228350528494337,0.46379086653232016,0.15446339900508854,0.18797513080163553,0.29598987166051555,0.21088676375322485,0.32215505776310754,0.34365779397944857,0.24067535540714285,0.2584057265122026,0.2267696126451626,0.1810664696257478,0.20607518348704612,0.4780415306716894,0.3547391005251595,0.3513295541368299,0.118474459460028,0.3185683490959273,0.23725419254521524,0.17625346933515487,0.40806976364790937,0.21968180666147374,0.2731702405849898,0.44764361995447416,0.17383695718998213,0.2936745586303752,0.2782440375936583,0.40224333491199227,0.41020813684341123,0.2352876828819791,0.2651078437003325,0.19749219903923868,0.1344188708485589,0.22153996287269168,0.27633887892264675,0.15867158229912795,0.21219069553728262,0.3958172019053262,0.3366523221028582,0.15516718135714058,0.35387669097738794,0.23525150039646525,0.3870886350194824,0.3649706911672102,0.23243087210249475,0.26823052851723883,0.42723859118919105,0.21578265232813126,0.1964648203286432,0.06986241468232994,0.2367522674316005,0.3866875225403841,0.3958253198663068,0.3060418894401926,0.14718883774281857,0.18718866746818033,0.2056242476212249,0.16182744612508618,0.30414453896642385,0.32735290029056424,0.362532520919209,0.16841658324256842,0.24911018493271192,0.15233056496336794,0.29910647974509935,0.1529711023226196,0.29504729999420554,0.1373322308065566,0.22499811382722026,0.2615047339770882,0.25053619734581356,0.2930380233240341,0.2766022103605422,0.3522382450958584,0.20997635041304152,0.3475527778141476,0.2174748674779522,0.17669333060263445,0.160925133238141,0.2424946641237603,0.32454296514861597,0.2415107109841667,0.29513953186721853,0.28621955207755095,0.17615576125092544,0.2519652241527907,0.3597008932846596,0.3168984617957538,0.2931390238385054,0.3682072681348573,0.2241771950114015,0.31364863986595803,0.15232529767698652,0.17958418949818092,0.19401251511525885,0.3886563332609307,0.05049828462222721,0.2372125742828354,0.3007332744522302,0.2793009519004377,0.14427859399272147,0.05942630021433439,0.42983208701975817,0.3967204656141165,0.3210905001670104,0.1426346685804062,0.2587043792448197,0.26616407668548675,0.32019025097707826,0.11379186626781998,0.25439669729563075,0.046219342817296526,0.12257026145924763,0.25791672544754285,0.29766711985618033,0.2218252634149397,0.26591315580627084,0.18563048051961079,0.25522696413101964,0.24806454974552908,0.2336120488678668,0.18262375777269685,0.2597445643229618,0.31464458755666547,0.2227602076280528,0.29103112410467047,0.43214984754432106,0.2913633720583929,0.14330990504309402,0.5401578445495405,0.3988743447178375,2,DET vs FullGradCam
4,backbone.res2.1.conv2,0.26920267808848247,0.13470996212387515,0.10449107878146247,0.4358097448270106,0.2396234645792468,0.2233362217199954,0.34531378303702015,0.36969094286689763,0.3091442811926817,0.31715376824384045,0.3150191272188747,0.07669633702554175,0.4067695791176913,0.13596602588417472,0.21895799145566058,0.29069872097727273,0.30463887781950627,0.2472109256097918,0.2686815166941919,0.10586125742970473,0.4147442108057283,0.1647233639671226,0.19165561910103499,0.29609739307321187,0.262290197081044,0.2749776283166324,0.34676599589455553,0.24858823164486654,0.2623287221767299,0.20879316253971292,0.18043582120954987,0.22603806876971622,0.47955345430799934,0.3734921045019029,0.36858282200779074,0.11522036797499852,0.30720199030612527,0.2404763715199455,0.203532028721864,0.41944579116840525,0.21546616936849988,0.28231321268745174,0.43350506908413183,0.11071492634794887,0.29206007999601746,0.2847607278066054,0.49966356938691997,0.4016613975906784,0.23795501040398584,0.25781476525099417,0.2645779448455631,0.13695950033950002,0.20827542280741537,0.21703869932111586,0.1427031410292681,0.1974224478722753,0.3346604751562576,0.35496699863406966,0.1327914648440649,0.3171618655724782,0.2630220191251283,0.37197906193808966,0.3282172124624059,0.23769170540172246,0.2598388761799673,0.415174393942135,0.23678571082778713,0.1758889137632036,0.07862553148982988,0.28402992116523545,0.34726286267550205,0.3677743118889521,0.3266663857409228,0.15648902363126946,0.1781259336953631,0.20157856975302973,0.13383869508470297,0.29415311834470703,0.3336824575069816,0.3847073989497689,0.15889013403240299,0.20392852687127855,0.15229012548242446,0.30338543157850084,0.16842275018740716,0.2733331393666692,0.13545325792099472,0.19995578590494445,0.24901720380190284,0.23685048810504117,0.29130761149154394,0.2868765157641922,0.36444300377428485,0.2144013597528849,0.3325993708114477,0.21963002220160804,0.17364140837622033,0.14987286768532612,0.22927778435534377,0.305354091404332,0.19272168569116818,0.3579177346678934,0.23543178841805257,0.13778438591730108,0.25598754923300465,0.3339551377936464,0.3622642799414,0.24715147279030494,0.34364985976730983,0.17394879324539453,0.2985144387210393,0.13819698321958504,0.1714666370700977,0.15163944921873113,0.3701235238605992,0.05238376783958856,0.20272595291506484,0.2611860521886019,0.2678014402198791,0.12928097115588882,0.04603406216105425,0.3771272103052639,0.4002524394410152,0.2864771214495151,0.15454190538535859,0.22953353947910818,0.26027323417245496,0.29974088165083246,0.10533025489776268,0.3190417511070368,0.08248691539241773,0.12808790600402614,0.2793467179761792,0.2860411822295355,0.18113457221204937,0.27428282624867417,0.197493508848435,0.26474831299760565,0.22808806866254472,0.20811819400437667,0.2110683925025496,0.25802617235634734,0.3150298688771818,0.2611710004595893,0.27634403106580685,0.4292766832379287,0.2785044997663382,0.1696348935155473,0.5020310222897263,0.3715002583289355,2,DET vs FullGradCam
5,backbone.res2.1.conv3,0.2305806488056575,0.10102343855003693,0.08185161469316923,0.36298469531843597,0.21684131076564103,0.2017815872342532,0.2014523247389508,0.3410071411610937,0.22514663951467387,0.2780666695582071,0.29937061772975915,0.05301017709435346,0.2952304512675164,0.16288617476708353,0.17494806804998606,0.24971700152373927,0.24763722165283672,0.20811078121069862,0.2055362584929572,0.10029680442519712,0.36141815968920143,0.13362090913058147,0.17873720146474453,0.25570097866742814,0.18648554365401637,0.2650854235879859,0.28121055792214744,0.21428472117296424,0.24651992525303543,0.1401464362564785,0.10793065689611674,0.14252439640150624,0.3638624979119196,0.2988726821142514,0.2477580315239597,0.08199371099782181,0.2316581313976884,0.17526173511542428,0.1797801429057286,0.4000013340560205,0.20956691880907233,0.22595968429924035,0.38971864779720644,0.08450920226675235,0.2388266079956084,0.21676338077854207,0.44909368628025903,0.3168626363961307,0.21817535192586393,0.2250909305748532,0.1663911509853065,0.10434633278577558,0.19941434533030789,0.26994641390005814,0.1221550298475833,0.17553679589621352,0.333353164166999,0.3073890161716376,0.1423836373756839,0.21983408284519704,0.2725593348971327,0.2964943677011605,0.2903187397769626,0.1891385943843011,0.1922224571696545,0.34979057462097934,0.15713242554426088,0.18400102318285735,0.07979868506705165,0.22742817116999572,0.3666611421370557,0.35757333751340536,0.2609687766147144,0.08775690654497828,0.15722418444978484,0.12770951380272486,0.11980335965988077,0.24942014831646375,0.25427502431914084,0.3459348493560118,0.11335860886323795,0.23832446670695734,0.13756080140391103,0.2402517959260779,0.14334079317119872,0.26624690742616874,0.10876062631731649,0.21926442199282556,0.22719149799977892,0.2344301468685863,0.23958528401239254,0.25702338598706914,0.30375315960904287,0.1463736258193469,0.25471001724191467,0.2021401036276294,0.12649217496564735,0.12374142307589547,0.15063071795540964,0.24166599488970095,0.15591746919108382,0.27604972794994653,0.21517066367869117,0.12378836106759986,0.2556127905187002,0.27864303912921407,0.2980838164397619,0.261717640850012,0.31318704285616883,0.16024596916668488,0.2875292623582576,0.11450261001177159,0.13857398779648678,0.0994014504386384,0.2863766583229697,0.03543557832339708,0.15120213002683638,0.2694982754146829,0.22346526227380895,0.15732623824782896,0.045557787760839026,0.32756796282791073,0.27312534932468596,0.2592742357246255,0.12509792451758284,0.22349605665603547,0.21212261091982296,0.25677716643910586,0.09307334645100114,0.22587610705005914,0.08856508459028242,0.1111967400966707,0.27403017400524904,0.22729725046271337,0.19478774180176622,0.19929729602321153,0.15909963622025214,0.2379645726677436,0.2166246796877033,0.18822912854950932,0.1616371421163738,0.25273369359681896,0.28310300289137186,0.1774003608700284,0.22183294161966782,0.35358943827531614,0.2679575393326106,0.1283055118652134,0.4272136797320799,0.3442088129465127,2,DET vs FullGradCam
6,backbone.res2.2.conv1,0.27792768482679603,0.11787364832870156,0.06671883021779487,0.3551521863151402,0.21388398847342213,0.18364901973869194,0.20081267347035686,0.38364396292841896,0.2728346144248466,0.3002817090708385,0.26861515840721223,0.10542382915269821,0.45836558986989984,0.1126826197286116,0.23046677241417135,0.2761535657704386,0.2360460341089184,0.25781909776596956,0.28122298757187586,0.09926841961103992,0.43010240147718787,0.14363548489455932,0.15665587523900826,0.28031946813953,0.24213577350602972,0.28357780168867575,0.3636122281439882,0.2256511610043824,0.23912123141023964,0.18407590540039737,0.15321828392589537,0.20459969274762083,0.4619322250709716,0.4080640146987646,0.30126845736128827,0.1184201103141852,0.2821505878289556,0.23726107345003317,0.21086846769426126,0.37980620414915184,0.19831752072565112,0.2698994280450712,0.44816336272642593,0.18254901574405355,0.3026008899751894,0.2462367132647961,0.45833519501882114,0.37039008276438395,0.2369494066843911,0.23692658006081557,0.1852713662571697,0.13839524514760865,0.19917822551804673,0.22663988975644422,0.1532445631355004,0.25260302328392353,0.40277200199539465,0.35194879268188334,0.14477878556627394,0.2943988651139466,0.24882371987796617,0.3280926704056533,0.3234974063313344,0.23887677702690224,0.19854728360153165,0.4336932501885317,0.2286989769491206,0.17761685671003072,0.09087780381338864,0.22864252532940454,0.3166012396541143,0.3756554287081596,0.3001708742033972,0.21102580101173565,0.19686857057833765,0.1443624692995544,0.17605102654653043,0.2806342804084954,0.3033181399595013,0.322445650626388,0.17113299050684685,0.21234128768928295,0.15803601701355283,0.3058942573898645,0.15088550436773643,0.2447025809577759,0.14219457350357506,0.22742502055664732,0.20647993939159215,0.20510258700142775,0.286397312755446,0.2996009431196345,0.35714751562148533,0.1968015208079255,0.31458016946649386,0.22831315718354941,0.16160402998841747,0.14024068512115978,0.21826909376474754,0.3176598230144367,0.23519736599402732,0.2934394629534542,0.24290748091589318,0.17372509811910133,0.22129884047514964,0.34933873646961716,0.34669045558442624,0.2768560378115798,0.35331427886498606,0.19764864340829402,0.32608203479704756,0.15401726767852042,0.24491788243379853,0.11637673254670698,0.39839074944346803,0.05854600236965068,0.1954933727844075,0.30935347475789987,0.28569098439821566,0.17291933676315044,0.06291544277306188,0.3540126966603981,0.378181329373174,0.30326316565879297,0.13036832737261975,0.22542905275250086,0.23545051233175357,0.2615735622018522,0.08711625638641117,0.26196457581255134,0.10019680743575719,0.14805443764325502,0.24384407257778928,0.27560060181708795,0.21917718879345136,0.2635146775827625,0.19147832226699982,0.272008138488981,0.26678034801992434,0.234235736763163,0.20745564954519793,0.266680795406654,0.2712710214322388,0.2411314835943635,0.24578138381474593,0.4092626764198812,0.3162280976125195,0.12976636155076735,0.4610353040192865,0.32434132305855834,2,DET vs FullGradCam
7,backbone.res2.2.conv2,0.1761470850049751,0.08845500524321052,0.032858795094703144,0.23649904155048984,0.1377423803603524,0.09573600753876527,0.18865356683600837,0.26934503188211,0.14876184141558849,0.22573316636331384,0.18631040120885586,0.0943119846154367,0.2746954853604353,0.06641648881385398,0.1708891808352995,0.18469458396640676,0.1604132524255111,0.1424608901411187,0.17685753832459933,0.04479833307710885,0.31220469713388854,0.0767190055506863,0.10272778093599103,0.18060655549850946,0.15263476562532938,0.16661716026232715,0.24454750556317284,0.1658842131128951,0.11008257595672065,0.14249239350546566,0.13884705942923425,0.1485352800036986,0.2928380887253638,0.18295871602658514,0.19531098045241735,0.0626651656865918,0.1314295293815704,0.18783304834164735,0.10952382856504116,0.1985947719851236,0.11205616544935669,0.1890426260111511,0.28465082018051274,0.09219319145873314,0.19498466006927573,0.1460362029313845,0.2549211601014447,0.22968136141310652,0.16879925396455314,0.15528405642128512,0.13036074749974752,0.07816780518810755,0.11319076084706414,0.10890606215403639,0.09700571130404012,0.16313388587899913,0.23765198733529308,0.21764075331642094,0.0771691599016724,0.18154155081004192,0.16825721673038788,0.223273482146421,0.19010078122332996,0.16619915329029994,0.12064888450510966,0.2797355389185615,0.1604431166911251,0.12067664163951375,0.045663630261501234,0.1351366481837653,0.16006883430057528,0.23894960471999457,0.22836853020729722,0.13982403814811348,0.1310301070700554,0.11192475482562046,0.12069581931064711,0.16716182471131988,0.18537432040940924,0.21609692521696616,0.10803038070946397,0.10426039917546076,0.0794765251882249,0.1661166092001509,0.07813229743919858,0.1114352696989744,0.08809546501257905,0.12779314621549703,0.11244399858564721,0.11449118569468468,0.1870336395696634,0.20805003109147993,0.27035432864561665,0.12573076896290017,0.1893378095552127,0.12380652886199274,0.10497430495007211,0.11023859901783516,0.16775723358161568,0.21148369160780414,0.1389196224143341,0.2134223524847203,0.15457405081331313,0.0881573255963419,0.14127974687823056,0.22194676466163188,0.20168570992394827,0.17995081838557495,0.2559018017932816,0.11249192129464153,0.19524688219556477,0.08736024442408595,0.1988369207289585,0.09716933802567503,0.23112282736175543,0.04472729322956476,0.09551116586223087,0.18884945875277975,0.15989050495783513,0.11275418106001583,0.040411179646122286,0.22525581342001524,0.2698664028966672,0.2010219960331173,0.06903520372066874,0.14853751928134468,0.1616865912561608,0.1569016680115748,0.06893205868722166,0.17679454211236714,0.06998632166863623,0.10011292321037789,0.16658840494767826,0.11190509685185239,0.12372674772910769,0.21506572375105434,0.1014827615918299,0.21989399433334217,0.18290370476574785,0.12920880898159737,0.12887349061206502,0.15061936512748342,0.1643724311008089,0.1664306926896687,0.16387748590772155,0.24185484957004955,0.1855063261877103,0.06467433715731309,0.3163000612880168,0.21080497213912433,4,DET vs FullGradCam
8,backbone.res2.2.conv3,0.15268056798580742,0.08125976360977231,0.06056764040924715,0.2807591090519565,0.16191141672089995,0.15314265341665761,0.1782012216670602,0.22853385150568528,0.15268277098485508,0.15762973783571807,0.24801267920165632,0.030299129834269682,0.21633930828703918,0.12646011121640133,0.1190448672693943,0.18162954835554812,0.18982483528123084,0.14972127456843903,0.13752573458339126,0.06951732307157789,0.27243411150188984,0.09832962289421993,0.14948268106229004,0.1903450387015792,0.13496831427662703,0.21700775864349228,0.2220053465573573,0.1396720621672042,0.172793739646356,0.11514207613166505,0.07593262523511342,0.0754583209667079,0.2882629582315728,0.2254818238041355,0.19052918689113404,0.055270078136613957,0.19667489733227306,0.12025816201900297,0.13984074505858873,0.3112618090815667,0.17823909294911286,0.15334124343937325,0.2760210214578597,0.06515197648151451,0.17545564905524583,0.158507273348754,0.36154890889855285,0.2524397702225865,0.1578528595721949,0.17714198180153554,0.15209470615297996,0.07166582056062731,0.15226410538658944,0.21483165517848177,0.0746163541043737,0.08500292849843814,0.28579029659512906,0.24938745775940288,0.11218810930203812,0.1482460267864417,0.16507695036525544,0.227358418324224,0.23840951108013966,0.12725427222936156,0.1552252097061698,0.2505598700999998,0.084835474077658,0.14159931355651645,0.04997385556381971,0.18497249203989755,0.284032034082284,0.23279253350859436,0.18873754539896473,0.035701529539080755,0.08777321415389776,0.12071373360845421,0.0539188253468458,0.15087017726237215,0.16497704337015995,0.24705990898667265,0.07450453451434394,0.1920269921394324,0.09712272935883258,0.14934929335899355,0.11314010433655355,0.19902400376077786,0.055777508856672646,0.11482739908737088,0.1585937597210463,0.1844748718189636,0.17497354184093628,0.19413779943170015,0.14775224172759535,0.07003139617506945,0.21222042436046343,0.1352125591044434,0.08057945227841472,0.08158518869840857,0.09718055167026927,0.15867477633154142,0.10975661334290715,0.20428439282028313,0.16420522506590227,0.09368009158768892,0.2118355091475512,0.19491139197117902,0.20391018623600418,0.21371060938535913,0.21428585357275942,0.12990402992415373,0.21518149025338826,0.07368120367732205,0.08700700755734492,0.0690310170829066,0.19314508787993767,0.02106554342158972,0.07467648919283026,0.16066524869486531,0.1392158802894968,0.09844776116434109,0.031296051723152994,0.23886139951736882,0.18036859079934173,0.16772496550578558,0.11763606466470669,0.17267609776722642,0.1568602547101151,0.21100018252348215,0.07555964656351406,0.14910503996164745,0.08010740577694575,0.08128151104250057,0.2071702917461339,0.15766861636706478,0.14056091842753873,0.08926597135272168,0.12564547852011107,0.1706883270784614,0.09933902428923684,0.11590724285908177,0.1222319511700819,0.191972537730268,0.20066913881173615,0.10741913497144043,0.15481857611035732,0.2781717337791926,0.20288183941231178,0.09281922718721793,0.31329720369480457,0.2626937578008432,4,DET vs FullGradCam
